card_id,plant_id,months,task_type,section,title,short_reason,details,time_needed,priority,confidence,weather_rule_ids,garden_types,source_ids
kumare_zalivanje_13,kumare,junij;julij;avgust,zalivanje,today,Zalij kumare ob korenini,Plodovke v vročini hitro trpijo zaradi neenakomerne vlage.,"Zalivaj zjutraj ali zvečer. Izogibaj se močenju listov, posebej pri paradižniku in papriki.",10–20 min,8,medium_high,dry_three_days;hot_day;very_hot_day,vrt;visoka_greda;balkon,kgzs_plodovke_lonce;ivr_pepelovke_bucevk
kumare_pregled_14,kumare,junij;julij;avgust,pregled,watch,Preglej liste in zračnost pri kumare,"Toplo, vlažno ali mokro vreme poveča tveganje za bolezni pri občutljivih rastlinah.","Odstrani poškodovane liste, izboljšaj zračnost in ne delaj po mokrih rastlinah.",5–10 min,7,medium_high,humid_warm_day;rain_today,vrt;visoka_greda;rastlinjak,kgzs_plodovke_lonce;ivr_pepelovke_bucevk
kumare_obiranje_15,kumare,julij;avgust;september,obiranje,today,Obiraj zrele plodove: kumare,Redno obiranje spodbuja nadaljnjo rast in zmanjšuje preobremenitev rastline.,Obiraj nežno; prezrele ali poškodovane plodove odstrani.,5–15 min,6,medium,,vrt;visoka_greda;balkon,kgzs_plodovke_lonce;ivr_pepelovke_bucevk
bucke_setev_16,bucke,marec;april,setev,this_week,Preveri setev za bučke,"Toploljubne plodovke se običajno začnejo v zaščitenem prostoru, ne neposredno na mrzlo gredo.",Uporabi mesečni koledar in sortna navodila; sadike naj imajo dovolj svetlobe.,15–25 min,6,medium,cold_night;frost_risk,vrt;visoka_greda;balkon,ivr_pepelovke_bucevk;kgzs_plodovke_lonce
bucke_sajenje_17,bucke,maj,sajenje,today,Bučke: presajaj šele po varnem toplem obdobju,Plodovke so občutljive na nizke temperature in mrzla tla.,"Če so noči hladne, počakaj ali uporabi zaščito. Na balkonih sadike čez noč po potrebi umakni v zavetje.",20–40 min,8,medium,cold_night;frost_risk;windy_day,vrt;visoka_greda;balkon,ivr_pepelovke_bucevk;kgzs_plodovke_lonce
bucke_zalivanje_18,bucke,junij;julij;avgust,zalivanje,today,Zalij bučke ob korenini,Plodovke v vročini hitro trpijo zaradi neenakomerne vlage.,"Zalivaj zjutraj ali zvečer. Izogibaj se močenju listov, posebej pri paradižniku in papriki.",10–20 min,8,medium_high,dry_three_days;hot_day;very_hot_day,vrt;visoka_greda;balkon,ivr_pepelovke_bucevk;kgzs_plodovke_lonce
bucke_pregled_19,bucke,junij;julij;avgust,pregled,watch,Preglej liste in zračnost pri bučke,"Toplo, vlažno ali mokro vreme poveča tveganje za bolezni pri občutljivih rastlinah.","Odstrani poškodovane liste, izboljšaj zračnost in ne delaj po mokrih rastlinah.",5–10 min,7,medium_high,humid_warm_day;rain_today,vrt;visoka_greda;rastlinjak,ivr_pepelovke_bucevk;kgzs_plodovke_lonce
bucke_obiranje_20,bucke,julij;avgust;september,obiranje,today,Obiraj zrele plodove: bučke,Redno obiranje spodbuja nadaljnjo rast in zmanjšuje preobremenitev rastline.,Obiraj nežno; prezrele ali poškodovane plodove odstrani.,5–15 min,6,medium,,vrt;visoka_greda;balkon,ivr_pepelovke_bucevk;kgzs_plodovke_lonce
solata_setev_21,solata,marec;april;maj;avgust;september,setev,today,Sej ali dosajaj solata v manjših količinah,"Listnate vrtnine so bolj uporabne, če jih seješ postopno.",Posej manjšo količino naenkrat. Poleti izberi bolj senčno lego ali počakaj na hladnejše dni.,10–20 min,7,medium,hot_day;very_hot_day,vrt;visoka_greda;balkon,ivr_listne_usi_solatnice;kgzs_eknjiznica
solata_zalivanje_22,solata,april;maj;junij;september;oktober,zalivanje,today,Ohranjaj enakomerno vlago za solata,Listnata zelenjava hitro trpi ob suši in lahko postane grenka ali gre v cvet.,Zalivaj nežno. V loncih in visokih gredah preveri vlago pogosteje.,5–10 min,8,medium_high,dry_three_days;hot_day,vrt;visoka_greda;balkon,ivr_listne_usi_solatnice;kgzs_eknjiznica
solata_pregled_23,solata,maj;junij,pregled,watch,Preglej solata za uši in poškodbe,V toplem obdobju se lahko pojavijo listne uši in drugi škodljivci.,Preglej spodnjo stran listov in srce rastline. Pri nežnih rastlinah ukrepaj zgodaj.,5 min,6,medium_high,humid_warm_day,vrt;visoka_greda;balkon,ivr_listne_usi_solatnice;kgzs_eknjiznica
solata_obiranje_24,solata,april;maj;junij;september;oktober,obiranje,today,Obiraj zunanje liste ali cele glave: solata,Redno obiranje ohranja rastline uporabne in sprosti prostor.,"Pri rezanju pusti srce, če želiš ponovno odganjanje pri primernih vrstah.",5–10 min,5,medium,,vrt;visoka_greda;balkon,ivr_listne_usi_solatnice;kgzs_eknjiznica
spinaca_setev_25,spinaca,marec;april;maj;avgust;september,setev,today,Sej ali dosajaj špinača v manjših količinah,"Listnate vrtnine so bolj uporabne, če jih seješ postopno.",Posej manjšo količino naenkrat. Poleti izberi bolj senčno lego ali počakaj na hladnejše dni.,10–20 min,7,medium,hot_day;very_hot_day,vrt;visoka_greda;balkon,kgzs_eknjiznica;arso_agromet
spinaca_zalivanje_26,spinaca,april;maj;junij;september;oktober,zalivanje,today,Ohranjaj enakomerno vlago za špinača,Listnata zelenjava hitro trpi ob suši in lahko postane grenka ali gre v cvet.,Zalivaj nežno. V loncih in visokih gredah preveri vlago pogosteje.,5–10 min,8,medium_high,dry_three_days;hot_day,vrt;visoka_greda;balkon,kgzs_eknjiznica;arso_agromet
spinaca_pregled_27,spinaca,maj;junij,pregled,watch,Preglej špinača za uši in poškodbe,V toplem obdobju se lahko pojavijo listne uši in drugi škodljivci.,Preglej spodnjo stran listov in srce rastline. Pri nežnih rastlinah ukrepaj zgodaj.,5 min,6,medium_high,humid_warm_day,vrt;visoka_greda;balkon,kgzs_eknjiznica;arso_agromet
spinaca_obiranje_28,spinaca,april;maj;junij;september;oktober,obiranje,today,Obiraj zunanje liste ali cele glave: špinača,Redno obiranje ohranja rastline uporabne in sprosti prostor.,"Pri rezanju pusti srce, če želiš ponovno odganjanje pri primernih vrstah.",5–10 min,5,medium,,vrt;visoka_greda;balkon,kgzs_eknjiznica;arso_agromet
korenje_setev_29,korenje,marec;april;maj;junij;avgust;september,setev,today,Preveri setev na prosto: korenje,"Korenovke potrebujejo dobro pripravljeno, rahlo in vlažno setveno površino.",Ne sej v zbito zemljo. Po setvi ohranjaj površino vlažno do vznika.,15–25 min,7,medium,rain_today;dry_three_days,vrt;visoka_greda;balkon,kgzs_temp_tal;ivr_portal
korenje_redčenje_30,korenje,april;maj;junij,redčenje,this_week,Redči pregoste vrste: korenje,Pregosta setev povzroči drobne ali deformirane korene/gomolje.,"Redči postopno, ko so rastline dovolj velike za prijem.",10–15 min,6,medium,,vrt;visoka_greda;balkon,kgzs_temp_tal;ivr_portal
korenje_zalivanje_31,korenje,maj;junij;julij;avgust,zalivanje,today,Vzdržuj enakomerno vlago za korenje,Nihanje med sušo in obilnim zalivanjem poslabša kakovost pridelka.,"Zalivaj redno, posebej v lahkih tleh in visokih gredah.",10–15 min,7,medium,dry_three_days;hot_day,vrt;visoka_greda;balkon,kgzs_temp_tal;ivr_portal
korenje_obiranje_32,korenje,junij;julij;avgust;september;oktober,obiranje,today,Preveri velikost pridelka: korenje,Preveliki pridelki lahko izgubijo kakovost ali postanejo oleseneli.,"Obiraj sproti, ko doseže uporabno velikost.",5–15 min,5,medium,,vrt;visoka_greda;balkon,kgzs_temp_tal;ivr_portal
redkvica_setev_33,redkvica,marec;april;maj;junij;avgust;september,setev,today,Preveri setev na prosto: redkvica,"Korenovke potrebujejo dobro pripravljeno, rahlo in vlažno setveno površino.",Ne sej v zbito zemljo. Po setvi ohranjaj površino vlažno do vznika.,15–25 min,7,medium,rain_today;dry_three_days,vrt;visoka_greda;balkon,kgzs_temp_tal;ivr_kapusnice
redkvica_redčenje_34,redkvica,april;maj;junij,redčenje,this_week,Redči pregoste vrste: redkvica,Pregosta setev povzroči drobne ali deformirane korene/gomolje.,"Redči postopno, ko so rastline dovolj velike za prijem.",10–15 min,6,medium,,vrt;visoka_greda;balkon,kgzs_temp_tal;ivr_kapusnice
redkvica_zalivanje_35,redkvica,maj;junij;julij;avgust,zalivanje,today,Vzdržuj enakomerno vlago za redkvica,Nihanje med sušo in obilnim zalivanjem poslabša kakovost pridelka.,"Zalivaj redno, posebej v lahkih tleh in visokih gredah.",10–15 min,7,medium,dry_three_days;hot_day,vrt;visoka_greda;balkon,kgzs_temp_tal;ivr_kapusnice
redkvica_obiranje_36,redkvica,junij;julij;avgust;september;oktober,obiranje,today,Preveri velikost pridelka: redkvica,Preveliki pridelki lahko izgubijo kakovost ali postanejo oleseneli.,"Obiraj sproti, ko doseže uporabno velikost.",5–15 min,5,medium,,vrt;visoka_greda;balkon,kgzs_temp_tal;ivr_kapusnice
fizol_nizek_setev_37,fizol_nizek,marec;april;maj;junij,setev,today,Sej nizek fižol samo v primerne razmere,"Stročnice slabše vznikajo v hladni, mokri zemlji; fižol je posebej toploljuben.","Če so tla hladna ali razmočena, počakaj. Setev naj bo v rahla, odcedna tla.",15–25 min,8,medium_high,cold_night;heavy_rain_today,vrt;visoka_greda;balkon,ivr_fizolova_muha;kgzs_eknjiznica
fizol_nizek_opora_38,fizol_nizek,maj;junij;julij,opora,this_week,"Dodaj oporo, če jo nizek fižol potrebuje",Oporne sorte se manj poležejo in jih lažje obiraš.,"Namesti oporo zgodaj, preden se rastline zapletejo.",10–20 min,5,medium,windy_day,vrt;visoka_greda;balkon,ivr_fizolova_muha;kgzs_eknjiznica
fizol_nizek_zalivanje_39,fizol_nizek,junij;julij;avgust,zalivanje,today,Zalij nizek fižol ob cvetenju in nastavljanju strokov,Suša v tem obdobju zmanjša pridelek.,Zalivaj ob tleh in ne pretiravaj z dušičnim gnojenjem.,10–15 min,7,medium,dry_three_days;hot_day,vrt;visoka_greda;balkon,ivr_fizolova_muha;kgzs_eknjiznica
fizol_nizek_obiranje_40,fizol_nizek,maj;junij;julij;avgust;september,obiranje,today,Obiraj stroke: nizek fižol,Redno obiranje pri nekaterih sortah spodbuja nastavljanje novih strokov.,"Obiraj nežno, da ne poškoduješ poganjkov.",10–20 min,6,medium,,vrt;visoka_greda;balkon,ivr_fizolova_muha;kgzs_eknjiznica
grah_setev_41,grah,marec;april;maj;junij,setev,today,Sej grah samo v primerne razmere,"Stročnice slabše vznikajo v hladni, mokri zemlji; fižol je posebej toploljuben.","Če so tla hladna ali razmočena, počakaj. Setev naj bo v rahla, odcedna tla.",15–25 min,8,medium_high,cold_night;heavy_rain_today,vrt;visoka_greda;balkon,ivr_fizolova_muha;kgzs_eknjiznica
grah_opora_42,grah,maj;junij;julij,opora,this_week,"Dodaj oporo, če jo grah potrebuje",Oporne sorte se manj poležejo in jih lažje obiraš.,"Namesti oporo zgodaj, preden se rastline zapletejo.",10–20 min,5,medium,windy_day,vrt;visoka_greda;balkon,ivr_fizolova_muha;kgzs_eknjiznica
grah_zalivanje_43,grah,junij;julij;avgust,zalivanje,today,Zalij grah ob cvetenju in nastavljanju strokov,Suša v tem obdobju zmanjša pridelek.,Zalivaj ob tleh in ne pretiravaj z dušičnim gnojenjem.,10–15 min,7,medium,dry_three_days;hot_day,vrt;visoka_greda;balkon,ivr_fizolova_muha;kgzs_eknjiznica
grah_obiranje_44,grah,maj;junij;julij;avgust;september,obiranje,today,Obiraj stroke: grah,Redno obiranje pri nekaterih sortah spodbuja nastavljanje novih strokov.,"Obiraj nežno, da ne poškoduješ poganjkov.",10–20 min,6,medium,,vrt;visoka_greda;balkon,ivr_fizolova_muha;kgzs_eknjiznica
zelje_sajenje_45,zelje,marec;april;maj;junij;julij;avgust,sajenje,today,Sadi zelje z dovolj prostora,"Kapusnice potrebujejo prostor, vlago in hranila.",Ne saditi pregosto. Pri vročini sadike presadi zvečer in dobro zalij.,20–35 min,7,medium,hot_day;windy_day,vrt;visoka_greda,ivr_kapusnice
zelje_pregled_46,zelje,april;maj;junij;julij;avgust;september,pregled,watch,Preglej zelje za bolhače in gosenice,Mlade kapusnice so občutljive na objedanje listov.,"Preglej liste, predvsem mlade rastline. Po potrebi uporabi prekrivko in kolobar.",5–10 min,8,high,hot_day;dry_three_days,vrt;visoka_greda,ivr_kapusnice
zelje_zalivanje_47,zelje,maj;junij;julij;avgust,zalivanje,today,"Zalij zelje, če so tla suha",Suša pri kapusnicah poslabša rast in oblikovanje uporabnih delov.,Zalivaj globlje in manj pogosto kot površinsko vsak dan.,10–20 min,7,medium,dry_three_days;hot_day,vrt;visoka_greda,ivr_kapusnice
zelje_obiranje_48,zelje,junij;julij;avgust;september;oktober,obiranje,today,Preveri zrelost: zelje,Pravočasno obiranje izboljša kakovost in sprosti prostor.,"Obiraj, ko je pridelek dovolj razvit, a še čvrst.",10–20 min,5,medium,,vrt;visoka_greda,ivr_kapusnice
brokoli_sajenje_49,brokoli,marec;april;maj;junij;julij;avgust,sajenje,today,Sadi brokoli z dovolj prostora,"Kapusnice potrebujejo prostor, vlago in hranila.",Ne saditi pregosto. Pri vročini sadike presadi zvečer in dobro zalij.,20–35 min,7,medium,hot_day;windy_day,vrt;visoka_greda,ivr_kapusnice
brokoli_pregled_50,brokoli,april;maj;junij;julij;avgust;september,pregled,watch,Preglej brokoli za bolhače in gosenice,Mlade kapusnice so občutljive na objedanje listov.,"Preglej liste, predvsem mlade rastline. Po potrebi uporabi prekrivko in kolobar.",5–10 min,8,high,hot_day;dry_three_days,vrt;visoka_greda,ivr_kapusnice
brokoli_zalivanje_51,brokoli,maj;junij;julij;avgust,zalivanje,today,"Zalij brokoli, če so tla suha",Suša pri kapusnicah poslabša rast in oblikovanje uporabnih delov.,Zalivaj globlje in manj pogosto kot površinsko vsak dan.,10–20 min,7,medium,dry_three_days;hot_day,vrt;visoka_greda,ivr_kapusnice
brokoli_obiranje_52,brokoli,junij;julij;avgust;september;oktober,obiranje,today,Preveri zrelost: brokoli,Pravočasno obiranje izboljša kakovost in sprosti prostor.,"Obiraj, ko je pridelek dovolj razvit, a še čvrst.",10–20 min,5,medium,,vrt;visoka_greda,ivr_kapusnice
cebula_sajenje_53,cebula,marec;april;oktober;november,sajenje,today,Sadi ali preveri čebula,Čebulnice potrebujejo odcedna tla in ne marajo zastajanja vode.,Ne saditi v razmočeno zemljo. Upoštevaj sezono za jesensko ali spomladansko sajenje.,15–30 min,6,medium,heavy_rain_today,vrt;visoka_greda;balkon,kgzs_eknjiznica;source_needed
cebula_pletje_54,cebula,april;maj;junij,pletje,this_week,Odstrani plevel med vrstami: čebula,Čebulnice slabo tekmujejo s plevelom.,"Pleji plitvo, da ne poškoduješ korenin ali čebulic.",10–20 min,6,medium,,vrt;visoka_greda;balkon,kgzs_eknjiznica;source_needed
cebula_zalivanje_55,cebula,maj;junij,zalivanje,today,"Zalij čebula, če je suho","Enakomerna vlaga pomaga pri razvoju, preveč vode pa škodi.",Zalij zmerno; pred dozorevanjem zalivanje zmanjšaj.,5–10 min,5,medium,dry_three_days,vrt;visoka_greda;balkon,kgzs_eknjiznica;source_needed
cebula_obiranje_56,cebula,junij;julij;avgust,obiranje,today,Preveri zrelost: čebula,Obiranje ob pravem času izboljša skladiščenje.,"Ko listje polega in se suši, preveri zrelost in suši na zračnem mestu.",20–40 min,5,medium,rain_today,vrt;visoka_greda,kgzs_eknjiznica;source_needed
cesen_sajenje_57,cesen,marec;april;oktober;november,sajenje,today,Sadi ali preveri česen,Čebulnice potrebujejo odcedna tla in ne marajo zastajanja vode.,Ne saditi v razmočeno zemljo. Upoštevaj sezono za jesensko ali spomladansko sajenje.,15–30 min,6,medium,heavy_rain_today,vrt;visoka_greda;balkon,kgzs_eknjiznica;source_needed
cesen_pletje_58,cesen,april;maj;junij,pletje,this_week,Odstrani plevel med vrstami: česen,Čebulnice slabo tekmujejo s plevelom.,"Pleji plitvo, da ne poškoduješ korenin ali čebulic.",10–20 min,6,medium,,vrt;visoka_greda;balkon,kgzs_eknjiznica;source_needed
cesen_zalivanje_59,cesen,maj;junij,zalivanje,today,"Zalij česen, če je suho","Enakomerna vlaga pomaga pri razvoju, preveč vode pa škodi.",Zalij zmerno; pred dozorevanjem zalivanje zmanjšaj.,5–10 min,5,medium,dry_three_days,vrt;visoka_greda;balkon,kgzs_eknjiznica;source_needed
cesen_obiranje_60,cesen,junij;julij;avgust,obiranje,today,Preveri zrelost: česen,Obiranje ob pravem času izboljša skladiščenje.,"Ko listje polega in se suši, preveri zrelost in suši na zračnem mestu.",20–40 min,5,medium,rain_today,vrt;visoka_greda,kgzs_eknjiznica;source_needed
krompir_setev_61,krompir,marec;april;maj;junij;avgust;september,setev,today,Preveri setev na prosto: krompir,"Korenovke potrebujejo dobro pripravljeno, rahlo in vlažno setveno površino.",Ne sej v zbito zemljo. Po setvi ohranjaj površino vlažno do vznika.,15–25 min,7,medium,rain_today;dry_three_days,vrt;visoka_greda;balkon,ivr_krompirjeva_plesen;ivr_portal
krompir_redčenje_62,krompir,april;maj;junij,redčenje,this_week,Redči pregoste vrste: krompir,Pregosta setev povzroči drobne ali deformirane korene/gomolje.,"Redči postopno, ko so rastline dovolj velike za prijem.",10–15 min,6,medium,,vrt;visoka_greda;balkon,ivr_krompirjeva_plesen;ivr_portal
krompir_zalivanje_63,krompir,maj;junij;julij;avgust,zalivanje,today,Vzdržuj enakomerno vlago za krompir,Nihanje med sušo in obilnim zalivanjem poslabša kakovost pridelka.,"Zalivaj redno, posebej v lahkih tleh in visokih gredah.",10–15 min,7,medium,dry_three_days;hot_day,vrt;visoka_greda;balkon,ivr_krompirjeva_plesen;ivr_portal
krompir_obiranje_64,krompir,junij;julij;avgust;september;oktober,obiranje,today,Preveri velikost pridelka: krompir,Preveliki pridelki lahko izgubijo kakovost ali postanejo oleseneli.,"Obiraj sproti, ko doseže uporabno velikost.",5–15 min,5,medium,,vrt;visoka_greda;balkon,ivr_krompirjeva_plesen;ivr_portal
bazilika_setev_sajenje_65,bazilika,marec;april;maj;junij,setev_sajenje,today,Posej ali posadi bazilika,"Zelišča so odlična za začetnike, balkon in kuhinjsko uporabo.",Za lonce uporabi odceden substrat. Toploljubna zelišča ne saditi prezgodaj na mraz.,10–20 min,6,medium,cold_night;frost_risk,vrt;visoka_greda;balkon,kgzs_dobri_sosedje;kgzs_plodovke_lonce
bazilika_obiranje_66,bazilika,maj;junij;julij;avgust;september,obiranje,today,Redno reži bazilika,Redno rezanje spodbuja mlade poganjke in bolj kompaktno rast.,"Reži zjutraj, ko so rastline sveže. Ne odstrani večine rastline naenkrat.",5–10 min,6,medium,,vrt;visoka_greda;balkon,kgzs_dobri_sosedje;kgzs_plodovke_lonce
bazilika_zalivanje_67,bazilika,junij;julij;avgust,zalivanje,today,Preveri vlago v loncu: bazilika,"Zelišča v loncih se hitro izsušijo, vendar ne marajo stalne mokrote.","Zalij, ko je zgornji del substrata suh. Poskrbi za odtekanje vode.",3–8 min,7,medium,dry_three_days;hot_day,balkon;visoka_greda;vrt,kgzs_dobri_sosedje;kgzs_plodovke_lonce
bazilika_nega_68,bazilika,junij;julij;avgust,nega,this_week,"Odstrani cvetove pri bazilika, če želiš več listov",Pri mnogih zeliščih cvetenje spremeni rast in okus listov.,"Cvetove pusti, če želiš privabiti opraševalce; odstrani jih, če želiš predvsem liste.",5 min,4,medium,,vrt;visoka_greda;balkon,kgzs_dobri_sosedje;kgzs_plodovke_lonce
petersilj_list_setev_sajenje_69,petersilj_list,marec;april;maj;junij,setev_sajenje,today,Posej ali posadi listni peteršilj,"Zelišča so odlična za začetnike, balkon in kuhinjsko uporabo.",Za lonce uporabi odceden substrat. Toploljubna zelišča ne saditi prezgodaj na mraz.,10–20 min,6,medium,cold_night;frost_risk,vrt;visoka_greda;balkon,kgzs_eknjiznica;source_needed
petersilj_list_obiranje_70,petersilj_list,maj;junij;julij;avgust;september,obiranje,today,Redno reži listni peteršilj,Redno rezanje spodbuja mlade poganjke in bolj kompaktno rast.,"Reži zjutraj, ko so rastline sveže. Ne odstrani večine rastline naenkrat.",5–10 min,6,medium,,vrt;visoka_greda;balkon,kgzs_eknjiznica;source_needed
petersilj_list_zalivanje_71,petersilj_list,junij;julij;avgust,zalivanje,today,Preveri vlago v loncu: listni peteršilj,"Zelišča v loncih se hitro izsušijo, vendar ne marajo stalne mokrote.","Zalij, ko je zgornji del substrata suh. Poskrbi za odtekanje vode.",3–8 min,7,medium,dry_three_days;hot_day,balkon;visoka_greda;vrt,kgzs_eknjiznica;source_needed
petersilj_list_nega_72,petersilj_list,junij;julij;avgust,nega,this_week,"Odstrani cvetove pri listni peteršilj, če želiš več listov",Pri mnogih zeliščih cvetenje spremeni rast in okus listov.,"Cvetove pusti, če želiš privabiti opraševalce; odstrani jih, če želiš predvsem liste.",5 min,4,medium,,vrt;visoka_greda;balkon,kgzs_eknjiznica;source_needed
drobnjak_setev_sajenje_73,drobnjak,marec;april;maj;junij,setev_sajenje,today,Posej ali posadi drobnjak,"Zelišča so odlična za začetnike, balkon in kuhinjsko uporabo.",Za lonce uporabi odceden substrat. Toploljubna zelišča ne saditi prezgodaj na mraz.,10–20 min,6,medium,cold_night;frost_risk,vrt;visoka_greda;balkon,kgzs_eknjiznica;source_needed
drobnjak_obiranje_74,drobnjak,maj;junij;julij;avgust;september,obiranje,today,Redno reži drobnjak,Redno rezanje spodbuja mlade poganjke in bolj kompaktno rast.,"Reži zjutraj, ko so rastline sveže. Ne odstrani večine rastline naenkrat.",5–10 min,6,medium,,vrt;visoka_greda;balkon,kgzs_eknjiznica;source_needed
drobnjak_zalivanje_75,drobnjak,junij;julij;avgust,zalivanje,today,Preveri vlago v loncu: drobnjak,"Zelišča v loncih se hitro izsušijo, vendar ne marajo stalne mokrote.","Zalij, ko je zgornji del substrata suh. Poskrbi za odtekanje vode.",3–8 min,7,medium,dry_three_days;hot_day,balkon;visoka_greda;vrt,kgzs_eknjiznica;source_needed
drobnjak_nega_76,drobnjak,junij;julij;avgust,nega,this_week,"Odstrani cvetove pri drobnjak, če želiš več listov",Pri mnogih zeliščih cvetenje spremeni rast in okus listov.,"Cvetove pusti, če želiš privabiti opraševalce; odstrani jih, če želiš predvsem liste.",5 min,4,medium,,vrt;visoka_greda;balkon,kgzs_eknjiznica;source_needed
jagode_sajenje_77,jagode,marec;april;september;oktober,sajenje,this_week,Posadi ali presadi jagode v primernem času,"Jagodičevje je večletna kultura, zato je priprava mesta pomembna.",Izberi sončno lego in odcedna tla. Pri malinah načrtuj oporo.,30–60 min,6,medium,heavy_rain_today;windy_day,vrt;visoka_greda;balkon,kgzs_eknjiznica;source_needed
jagode_zalivanje_78,jagode,april;maj;junij;julij;avgust,zalivanje,today,"Zalij jagode, če je suho",Jagodičevje potrebuje enakomerno vlago med cvetenjem in tvorbo plodov.,"Zalij ob tleh. Pri jagodah pomaga zastirka, da plodovi ostanejo čistejši.",10–20 min,7,medium,dry_three_days;hot_day,vrt;visoka_greda;balkon,kgzs_eknjiznica;source_needed
