id,name,latin,group,diff,beginner,balcony,raised,sun,soil,water,spacing,months,harvest,source,desc
zelje,Zelje,Brassica oleracea var. capitata,kapusnice,3,srednje,ne,da,sonce,"hranilna, vlažna tla; dobro kolobarjenje","redno, posebej pri oblikovanju glav",40–60 cm,marec;april;maj;junij;julij;avgust;september;oktober,junij–november,ivr_kapusnice,"Klasična kapusnica; zahteva prostor, hranila in redno spremljanje škodljivcev."
brokoli,Brokoli,Brassica oleracea var. italica,kapusnice,3,srednje,ne,da,sonce do rahla polsenca,"hranilna, vlažna tla",redno; suša poslabša tvorbo rož,40–50 cm,marec;april;maj;junij;julij;avgust;september;oktober,junij–oktober,ivr_kapusnice,Uporabna kapusnica za pomlad in jesen; občutljiva na vročino in škodljivce.
cebula,Čebula,Allium cepa,čebulnice,2,da,delno,da,sonce,"odcedna, ne preveč mokra tla",zmerno; manj ob dozorevanju,8–12 cm,marec;april;maj;junij;julij;avgust,julij–avgust,kgzs_eknjiznica;source_needed,Osnovna čebulnica za vrt; ne mara zastajanja vode in pregoste saditve.
cesen,Česen,Allium sativum,čebulnice,1,da,delno,da,sonce,"odcedna, rahla tla",zmerno; ne mara mokrih tal,10–15 cm,oktober;november;marec;april;maj;junij;julij,junij–julij,kgzs_eknjiznica;source_needed,Zelo uporaben za začetnike; sadi se jeseni ali zgodaj spomladi.
krompir,Krompir,Solanum tuberosum,korenovke,2,da,delno,da,sonce,"rahla, odcedna, zmerno bogata tla",zmerno; pomembno ob nastavljanju gomoljev,30–40 cm,marec;april;maj;junij;julij;avgust;september,junij–september,ivr_krompirjeva_plesen;ivr_portal,Zanesljiva gomoljnica; spremljaj koloradskega hrošča in plesen v mokrem vremenu.
bazilika,Bazilika,Ocimum basilicum,zelišča,1,da,da,da,"sonce, toplo in zavetno","rahla, hranilna, odcedna tla","redno, a brez zastajanja vode",20–30 cm,marec;april;maj;junij;julij;avgust;september,junij–september,kgzs_dobri_sosedje;kgzs_plodovke_lonce,Toploljubno zelišče za lonce in ob paradižniku; ne mara mraza.
petersilj_list,Listni peteršilj,Petroselinum crispum,zelišča,1,da,da,da,sonce do polsenca,"rahla, vlažna tla","redno, predvsem v loncih",15–20 cm,marec;april;maj;junij;julij;avgust;september;oktober,maj–november,kgzs_eknjiznica;source_needed,"Uporabno kuhinjsko zelišče; kalitev je lahko počasna, zato naj bo setev potrpežljiva."
drobnjak,Drobnjak,Allium schoenoprasum,zelišča,1,da,da,da,sonce do polsenca,"zmerno hranljiva, vlažna tla",zmerno redno,20–30 cm,marec;april;maj;junij;julij;avgust;september;oktober,april–oktober,kgzs_eknjiznica;source_needed,Trajno zelišče za balkon ali vrt; redno rezanje spodbuja mlade poganjke.
jagode,Jagode,Fragaria × ananassa,sadje/jagodičevje,2,da,da,da,sonce,"humozna, odcedna tla; zastirka je koristna","redno, zlasti v loncih in med dozorevanjem",25–35 cm,marec;april;maj;junij;julij;avgust;september;oktober,maj–julij,kgzs_eknjiznica;source_needed,"Priljubljeno jagodičevje za vrt, visoko gredo ali korita; koristi od zastirke."
maline,Maline,Rubus idaeus,sadje/jagodičevje,3,srednje,ne,delno,sonce do polsenca,"humozna, vlažna, odcedna tla",redno ob suši,40–60 cm,marec;april;maj;junij;julij;avgust;september;oktober;november,junij–oktober,kgzs_eknjiznica;source_needed,Jagodičje z večletno oskrbo; potrebuje oporo in pravilno rez glede na tip sorte.
