page_id,url,page_type,primary_keyword,title,meta_description,h1,h2_suggestions,content_status,priority,source_ids
when_cesen,/kdaj/cesen,when_to_sow_plant,kdaj sejati česen,Kdaj sejati ali saditi česen?,"Mesečni koledar za česen v Sloveniji, z opozorili glede vremena, mraza, suše in tipa vrta.",Kdaj sejati ali saditi česen v Sloveniji?,Kratek odgovor; Koledar po mesecih; Kaj preveriti pri vremenu; Pogoste napake začetnikov; Sorodne rastline,needs_editor_review,1,kgzs_eknjiznica;source_needed
plant_krompir,/rastline/krompir,plant_profile,krompir,"Krompir: sajenje, nega in opravila po mesecih","Preprost vodič za krompir v slovenskem vrtu: kdaj sejati ali saditi, kako zalivati, pogoste napake in mesečna opravila.",Krompir na vrtu: preprost vodič za začetnike,Kdaj sejati ali saditi; Kam posaditi; Nega po mesecih; Pogoste napake; Bolezni in škodljivci; Dobri in slabi sosedje,draft_structured,2,ivr_krompirjeva_plesen;ivr_portal
when_krompir,/kdaj/krompir,when_to_sow_plant,kdaj sejati krompir,Kdaj sejati ali saditi krompir?,"Mesečni koledar za krompir v Sloveniji, z opozorili glede vremena, mraza, suše in tipa vrta.",Kdaj sejati ali saditi krompir v Sloveniji?,Kratek odgovor; Koledar po mesecih; Kaj preveriti pri vremenu; Pogoste napake začetnikov; Sorodne rastline,needs_editor_review,2,ivr_krompirjeva_plesen;ivr_portal
plant_bazilika,/rastline/bazilika,plant_profile,bazilika,"Bazilika: sajenje, nega in opravila po mesecih","Preprost vodič za bazilika v slovenskem vrtu: kdaj sejati ali saditi, kako zalivati, pogoste napake in mesečna opravila.",Bazilika na vrtu: preprost vodič za začetnike,Kdaj sejati ali saditi; Kam posaditi; Nega po mesecih; Pogoste napake; Bolezni in škodljivci; Dobri in slabi sosedje,draft_structured,1,kgzs_dobri_sosedje;kgzs_plodovke_lonce
when_bazilika,/kdaj/bazilika,when_to_sow_plant,kdaj sejati bazilika,Kdaj sejati ali saditi bazilika?,"Mesečni koledar za bazilika v Sloveniji, z opozorili glede vremena, mraza, suše in tipa vrta.",Kdaj sejati ali saditi bazilika v Sloveniji?,Kratek odgovor; Koledar po mesecih; Kaj preveriti pri vremenu; Pogoste napake začetnikov; Sorodne rastline,needs_editor_review,2,kgzs_dobri_sosedje;kgzs_plodovke_lonce
plant_petersilj_list,/rastline/petersilj-list,plant_profile,listni peteršilj,"Listni peteršilj: sajenje, nega in opravila po mesecih","Preprost vodič za listni peteršilj v slovenskem vrtu: kdaj sejati ali saditi, kako zalivati, pogoste napake in mesečna opravila.",Listni peteršilj na vrtu: preprost vodič za začetnike,Kdaj sejati ali saditi; Kam posaditi; Nega po mesecih; Pogoste napake; Bolezni in škodljivci; Dobri in slabi sosedje,draft_structured,2,kgzs_eknjiznica;source_needed
when_petersilj_list,/kdaj/petersilj-list,when_to_sow_plant,kdaj sejati listni peteršilj,Kdaj sejati ali saditi listni peteršilj?,"Mesečni koledar za listni peteršilj v Sloveniji, z opozorili glede vremena, mraza, suše in tipa vrta.",Kdaj sejati ali saditi listni peteršilj v Sloveniji?,Kratek odgovor; Koledar po mesecih; Kaj preveriti pri vremenu; Pogoste napake začetnikov; Sorodne rastline,needs_editor_review,2,kgzs_eknjiznica;source_needed
plant_drobnjak,/rastline/drobnjak,plant_profile,drobnjak,"Drobnjak: sajenje, nega in opravila po mesecih","Preprost vodič za drobnjak v slovenskem vrtu: kdaj sejati ali saditi, kako zalivati, pogoste napake in mesečna opravila.",Drobnjak na vrtu: preprost vodič za začetnike,Kdaj sejati ali saditi; Kam posaditi; Nega po mesecih; Pogoste napake; Bolezni in škodljivci; Dobri in slabi sosedje,draft_structured,2,kgzs_eknjiznica;source_needed
when_drobnjak,/kdaj/drobnjak,when_to_sow_plant,kdaj sejati drobnjak,Kdaj sejati ali saditi drobnjak?,"Mesečni koledar za drobnjak v Sloveniji, z opozorili glede vremena, mraza, suše in tipa vrta.",Kdaj sejati ali saditi drobnjak v Sloveniji?,Kratek odgovor; Koledar po mesecih; Kaj preveriti pri vremenu; Pogoste napake začetnikov; Sorodne rastline,needs_editor_review,2,kgzs_eknjiznica;source_needed
plant_jagode,/rastline/jagode,plant_profile,jagode,"Jagode: sajenje, nega in opravila po mesecih","Preprost vodič za jagode v slovenskem vrtu: kdaj sejati ali saditi, kako zalivati, pogoste napake in mesečna opravila.",Jagode na vrtu: preprost vodič za začetnike,Kdaj sejati ali saditi; Kam posaditi; Nega po mesecih; Pogoste napake; Bolezni in škodljivci; Dobri in slabi sosedje,draft_structured,1,kgzs_eknjiznica;source_needed
when_jagode,/kdaj/jagode,when_to_sow_plant,kdaj sejati jagode,Kdaj sejati ali saditi jagode?,"Mesečni koledar za jagode v Sloveniji, z opozorili glede vremena, mraza, suše in tipa vrta.",Kdaj sejati ali saditi jagode v Sloveniji?,Kratek odgovor; Koledar po mesecih; Kaj preveriti pri vremenu; Pogoste napake začetnikov; Sorodne rastline,needs_editor_review,2,kgzs_eknjiznica;source_needed
plant_maline,/rastline/maline,plant_profile,maline,"Maline: sajenje, nega in opravila po mesecih","Preprost vodič za maline v slovenskem vrtu: kdaj sejati ali saditi, kako zalivati, pogoste napake in mesečna opravila.",Maline na vrtu: preprost vodič za začetnike,Kdaj sejati ali saditi; Kam posaditi; Nega po mesecih; Pogoste napake; Bolezni in škodljivci; Dobri in slabi sosedje,draft_structured,2,kgzs_eknjiznica;source_needed
when_maline,/kdaj/maline,when_to_sow_plant,kdaj sejati maline,Kdaj sejati ali saditi maline?,"Mesečni koledar za maline v Sloveniji, z opozorili glede vremena, mraza, suše in tipa vrta.",Kdaj sejati ali saditi maline v Sloveniji?,Kratek odgovor; Koledar po mesecih; Kaj preveriti pri vremenu; Pogoste napake začetnikov; Sorodne rastline,needs_editor_review,2,kgzs_eknjiznica;source_needed
