plant_id,month,month_name,task_type,task_title,task_description,priority,garden_type,region_adjustment,verification_status,confidence,source_ids
cili,8,avgust,obiranje,Obiraj čili,Splošen razpon: julij–oktober. Redno pobiranje pri mnogih rastlinah spodbuja nadaljnjo rast.,srednja,vsi primerni tipi vrta,"Pridelek je odvisen od sorte, setve, vremena in lokalne mikroklime.",splošno sprejeto; preveri po viru/sorti,srednja,KGZS_EKNJIZNICA;SEMENARNA_KATALOG;VERIFY_NEEDED
cili,9,september,obiranje,Obiraj čili,Splošen razpon: julij–oktober. Redno pobiranje pri mnogih rastlinah spodbuja nadaljnjo rast.,srednja,vsi primerni tipi vrta,"Pridelek je odvisen od sorte, setve, vremena in lokalne mikroklime.",splošno sprejeto; preveri po viru/sorti,srednja,KGZS_EKNJIZNICA;SEMENARNA_KATALOG;VERIFY_NEEDED
cili,10,oktober,obiranje,Obiraj čili,Splošen razpon: julij–oktober. Redno pobiranje pri mnogih rastlinah spodbuja nadaljnjo rast.,srednja,vsi primerni tipi vrta,"Pridelek je odvisen od sorte, setve, vremena in lokalne mikroklime.",splošno sprejeto; preveri po viru/sorti,srednja,KGZS_EKNJIZNICA;SEMENARNA_KATALOG;VERIFY_NEEDED
kumare,4,april,setev_notri,Sej kumare v notranjih prostorih,"Splošen razpon: april. Upoštevaj sorto, svetlobo, temperaturo in regijo.",visoka,notranji prostor / sadike,Primorska pogosto prej; hladne lege in višje nadmorske višine pozneje.,splošno sprejeto; preveri po viru/sorti,srednja,KGZS_EKNJIZNICA;IVR;ARSO_TLA;SEMENARNA_KATALOG
kumare,5,maj,setev_na_prosto,Sej kumare na prosto,Splošen razpon: maj–junij. Pred setvijo preveri temperaturo in vlažnost tal.,visoka,"vrt / visoka greda / balkon, če je primerno",Primorska pogosto prej; hladne lege in višje nadmorske višine pozneje.,splošno sprejeto; preveri po viru/sorti,srednja,KGZS_EKNJIZNICA;IVR;ARSO_TLA;SEMENARNA_KATALOG
kumare,6,junij,setev_na_prosto,Sej kumare na prosto,Splošen razpon: maj–junij. Pred setvijo preveri temperaturo in vlažnost tal.,visoka,"vrt / visoka greda / balkon, če je primerno",Primorska pogosto prej; hladne lege in višje nadmorske višine pozneje.,splošno sprejeto; preveri po viru/sorti,srednja,KGZS_EKNJIZNICA;IVR;ARSO_TLA;SEMENARNA_KATALOG
kumare,5,maj,presajanje,Presadi kumare na stalno mesto,"Splošen razpon: maj–junij, po nevarnosti pozebe. Ne presajaj v stresnih razmerah; po presajanju zalij.",visoka,"vrt / visoka greda / večji lonec, če je primerno",Za toploljubne rastline počakaj na konec nevarnosti pozebe; v hladnih regijah pozneje.,splošno sprejeto; preveri po viru/sorti,srednja,KGZS_EKNJIZNICA;IVR;ARSO_TLA;SEMENARNA_KATALOG
kumare,6,junij,presajanje,Presadi kumare na stalno mesto,"Splošen razpon: maj–junij, po nevarnosti pozebe. Ne presajaj v stresnih razmerah; po presajanju zalij.",visoka,"vrt / visoka greda / večji lonec, če je primerno",Za toploljubne rastline počakaj na konec nevarnosti pozebe; v hladnih regijah pozneje.,splošno sprejeto; preveri po viru/sorti,srednja,KGZS_EKNJIZNICA;IVR;ARSO_TLA;SEMENARNA_KATALOG
kumare,6,junij,obiranje,Obiraj kumare,Splošen razpon: junij–september. Redno pobiranje pri mnogih rastlinah spodbuja nadaljnjo rast.,srednja,vsi primerni tipi vrta,"Pridelek je odvisen od sorte, setve, vremena in lokalne mikroklime.",splošno sprejeto; preveri po viru/sorti,srednja,KGZS_EKNJIZNICA;IVR;ARSO_TLA;SEMENARNA_KATALOG
kumare,7,julij,obiranje,Obiraj kumare,Splošen razpon: junij–september. Redno pobiranje pri mnogih rastlinah spodbuja nadaljnjo rast.,srednja,vsi primerni tipi vrta,"Pridelek je odvisen od sorte, setve, vremena in lokalne mikroklime.",splošno sprejeto; preveri po viru/sorti,srednja,KGZS_EKNJIZNICA;IVR;ARSO_TLA;SEMENARNA_KATALOG
kumare,8,avgust,obiranje,Obiraj kumare,Splošen razpon: junij–september. Redno pobiranje pri mnogih rastlinah spodbuja nadaljnjo rast.,srednja,vsi primerni tipi vrta,"Pridelek je odvisen od sorte, setve, vremena in lokalne mikroklime.",splošno sprejeto; preveri po viru/sorti,srednja,KGZS_EKNJIZNICA;IVR;ARSO_TLA;SEMENARNA_KATALOG
kumare,9,september,obiranje,Obiraj kumare,Splošen razpon: junij–september. Redno pobiranje pri mnogih rastlinah spodbuja nadaljnjo rast.,srednja,vsi primerni tipi vrta,"Pridelek je odvisen od sorte, setve, vremena in lokalne mikroklime.",splošno sprejeto; preveri po viru/sorti,srednja,KGZS_EKNJIZNICA;IVR;ARSO_TLA;SEMENARNA_KATALOG
bucke,4,april,setev_notri,Sej bučke v notranjih prostorih,"Splošen razpon: april. Upoštevaj sorto, svetlobo, temperaturo in regijo.",visoka,notranji prostor / sadike,Primorska pogosto prej; hladne lege in višje nadmorske višine pozneje.,splošno sprejeto; preveri po viru/sorti,srednja,KGZS_EKNJIZNICA;IVR;SEMENARNA_KATALOG
bucke,5,maj,setev_na_prosto,Sej bučke na prosto,Splošen razpon: maj–junij. Pred setvijo preveri temperaturo in vlažnost tal.,visoka,"vrt / visoka greda / balkon, če je primerno",Primorska pogosto prej; hladne lege in višje nadmorske višine pozneje.,splošno sprejeto; preveri po viru/sorti,srednja,KGZS_EKNJIZNICA;IVR;SEMENARNA_KATALOG
bucke,6,junij,setev_na_prosto,Sej bučke na prosto,Splošen razpon: maj–junij. Pred setvijo preveri temperaturo in vlažnost tal.,visoka,"vrt / visoka greda / balkon, če je primerno",Primorska pogosto prej; hladne lege in višje nadmorske višine pozneje.,splošno sprejeto; preveri po viru/sorti,srednja,KGZS_EKNJIZNICA;IVR;SEMENARNA_KATALOG
bucke,5,maj,presajanje,Presadi bučke na stalno mesto,"Splošen razpon: maj–junij, po nevarnosti pozebe. Ne presajaj v stresnih razmerah; po presajanju zalij.",visoka,"vrt / visoka greda / večji lonec, če je primerno",Za toploljubne rastline počakaj na konec nevarnosti pozebe; v hladnih regijah pozneje.,splošno sprejeto; preveri po viru/sorti,srednja,KGZS_EKNJIZNICA;IVR;SEMENARNA_KATALOG
bucke,6,junij,presajanje,Presadi bučke na stalno mesto,"Splošen razpon: maj–junij, po nevarnosti pozebe. Ne presajaj v stresnih razmerah; po presajanju zalij.",visoka,"vrt / visoka greda / večji lonec, če je primerno",Za toploljubne rastline počakaj na konec nevarnosti pozebe; v hladnih regijah pozneje.,splošno sprejeto; preveri po viru/sorti,srednja,KGZS_EKNJIZNICA;IVR;SEMENARNA_KATALOG
bucke,6,junij,obiranje,Obiraj bučke,Splošen razpon: junij–september. Redno pobiranje pri mnogih rastlinah spodbuja nadaljnjo rast.,srednja,vsi primerni tipi vrta,"Pridelek je odvisen od sorte, setve, vremena in lokalne mikroklime.",splošno sprejeto; preveri po viru/sorti,srednja,KGZS_EKNJIZNICA;IVR;SEMENARNA_KATALOG
bucke,7,julij,obiranje,Obiraj bučke,Splošen razpon: junij–september. Redno pobiranje pri mnogih rastlinah spodbuja nadaljnjo rast.,srednja,vsi primerni tipi vrta,"Pridelek je odvisen od sorte, setve, vremena in lokalne mikroklime.",splošno sprejeto; preveri po viru/sorti,srednja,KGZS_EKNJIZNICA;IVR;SEMENARNA_KATALOG
bucke,8,avgust,obiranje,Obiraj bučke,Splošen razpon: junij–september. Redno pobiranje pri mnogih rastlinah spodbuja nadaljnjo rast.,srednja,vsi primerni tipi vrta,"Pridelek je odvisen od sorte, setve, vremena in lokalne mikroklime.",splošno sprejeto; preveri po viru/sorti,srednja,KGZS_EKNJIZNICA;IVR;SEMENARNA_KATALOG
bucke,9,september,obiranje,Obiraj bučke,Splošen razpon: junij–september. Redno pobiranje pri mnogih rastlinah spodbuja nadaljnjo rast.,srednja,vsi primerni tipi vrta,"Pridelek je odvisen od sorte, setve, vremena in lokalne mikroklime.",splošno sprejeto; preveri po viru/sorti,srednja,KGZS_EKNJIZNICA;IVR;SEMENARNA_KATALOG
jajcevec,2,februar,setev_notri,Sej jajčevec v notranjih prostorih,"Splošen razpon: februar–marec. Upoštevaj sorto, svetlobo, temperaturo in regijo.",srednja,notranji prostor / sadike,Primorska pogosto prej; hladne lege in višje nadmorske višine pozneje.,splošno sprejeto; preveri po viru/sorti,srednja,IVR;SEMENARNA_KATALOG;VERIFY_NEEDED
jajcevec,3,marec,setev_notri,Sej jajčevec v notranjih prostorih,"Splošen razpon: februar–marec. Upoštevaj sorto, svetlobo, temperaturo in regijo.",srednja,notranji prostor / sadike,Primorska pogosto prej; hladne lege in višje nadmorske višine pozneje.,splošno sprejeto; preveri po viru/sorti,srednja,IVR;SEMENARNA_KATALOG;VERIFY_NEEDED
jajcevec,5,maj,presajanje,Presadi jajčevec na stalno mesto,"Splošen razpon: maj–junij, po nevarnosti pozebe. Ne presajaj v stresnih razmerah; po presajanju zalij.",srednja,"vrt / visoka greda / večji lonec, če je primerno",Za toploljubne rastline počakaj na konec nevarnosti pozebe; v hladnih regijah pozneje.,splošno sprejeto; preveri po viru/sorti,srednja,IVR;SEMENARNA_KATALOG;VERIFY_NEEDED
jajcevec,6,junij,presajanje,Presadi jajčevec na stalno mesto,"Splošen razpon: maj–junij, po nevarnosti pozebe. Ne presajaj v stresnih razmerah; po presajanju zalij.",srednja,"vrt / visoka greda / večji lonec, če je primerno",Za toploljubne rastline počakaj na konec nevarnosti pozebe; v hladnih regijah pozneje.,splošno sprejeto; preveri po viru/sorti,srednja,IVR;SEMENARNA_KATALOG;VERIFY_NEEDED
jajcevec,7,julij,obiranje,Obiraj jajčevec,Splošen razpon: julij–september. Redno pobiranje pri mnogih rastlinah spodbuja nadaljnjo rast.,srednja,vsi primerni tipi vrta,"Pridelek je odvisen od sorte, setve, vremena in lokalne mikroklime.",splošno sprejeto; preveri po viru/sorti,srednja,IVR;SEMENARNA_KATALOG;VERIFY_NEEDED
jajcevec,8,avgust,obiranje,Obiraj jajčevec,Splošen razpon: julij–september. Redno pobiranje pri mnogih rastlinah spodbuja nadaljnjo rast.,srednja,vsi primerni tipi vrta,"Pridelek je odvisen od sorte, setve, vremena in lokalne mikroklime.",splošno sprejeto; preveri po viru/sorti,srednja,IVR;SEMENARNA_KATALOG;VERIFY_NEEDED
jajcevec,9,september,obiranje,Obiraj jajčevec,Splošen razpon: julij–september. Redno pobiranje pri mnogih rastlinah spodbuja nadaljnjo rast.,srednja,vsi primerni tipi vrta,"Pridelek je odvisen od sorte, setve, vremena in lokalne mikroklime.",splošno sprejeto; preveri po viru/sorti,srednja,IVR;SEMENARNA_KATALOG;VERIFY_NEEDED
buce,4,april,setev_notri,Sej buče v notranjih prostorih,"Splošen razpon: april. Upoštevaj sorto, svetlobo, temperaturo in regijo.",visoka,notranji prostor / sadike,Primorska pogosto prej; hladne lege in višje nadmorske višine pozneje.,splošno sprejeto; preveri po viru/sorti,srednja,SEMENARNA_KATALOG;IVR;VERIFY_NEEDED
buce,5,maj,setev_na_prosto,Sej buče na prosto,Splošen razpon: maj. Pred setvijo preveri temperaturo in vlažnost tal.,visoka,"vrt / visoka greda / balkon, če je primerno",Primorska pogosto prej; hladne lege in višje nadmorske višine pozneje.,splošno sprejeto; preveri po viru/sorti,srednja,SEMENARNA_KATALOG;IVR;VERIFY_NEEDED
buce,5,maj,presajanje,Presadi buče na stalno mesto,"Splošen razpon: maj–junij, po nevarnosti pozebe. Ne presajaj v stresnih razmerah; po presajanju zalij.",visoka,"vrt / visoka greda / večji lonec, če je primerno",Za toploljubne rastline počakaj na konec nevarnosti pozebe; v hladnih regijah pozneje.,splošno sprejeto; preveri po viru/sorti,srednja,SEMENARNA_KATALOG;IVR;VERIFY_NEEDED
buce,6,junij,presajanje,Presadi buče na stalno mesto,"Splošen razpon: maj–junij, po nevarnosti pozebe. Ne presajaj v stresnih razmerah; po presajanju zalij.",visoka,"vrt / visoka greda / večji lonec, če je primerno",Za toploljubne rastline počakaj na konec nevarnosti pozebe; v hladnih regijah pozneje.,splošno sprejeto; preveri po viru/sorti,srednja,SEMENARNA_KATALOG;IVR;VERIFY_NEEDED
buce,9,september,obiranje,Obiraj buče,Splošen razpon: september–oktober. Redno pobiranje pri mnogih rastlinah spodbuja nadaljnjo rast.,srednja,vsi primerni tipi vrta,"Pridelek je odvisen od sorte, setve, vremena in lokalne mikroklime.",splošno sprejeto; preveri po viru/sorti,srednja,SEMENARNA_KATALOG;IVR;VERIFY_NEEDED
buce,10,oktober,obiranje,Obiraj buče,Splošen razpon: september–oktober. Redno pobiranje pri mnogih rastlinah spodbuja nadaljnjo rast.,srednja,vsi primerni tipi vrta,"Pridelek je odvisen od sorte, setve, vremena in lokalne mikroklime.",splošno sprejeto; preveri po viru/sorti,srednja,SEMENARNA_KATALOG;IVR;VERIFY_NEEDED
lubenica,4,april,setev_notri,Sej lubenica v notranjih prostorih,"Splošen razpon: april. Upoštevaj sorto, svetlobo, temperaturo in regijo.",srednja,notranji prostor / sadike,Primorska pogosto prej; hladne lege in višje nadmorske višine pozneje.,splošno sprejeto; preveri po viru/sorti,nizka,SEMENARNA_KATALOG;VERIFY_NEEDED
lubenica,5,maj,setev_na_prosto,Sej lubenica na prosto,Splošen razpon: maj. Pred setvijo preveri temperaturo in vlažnost tal.,srednja,"vrt / visoka greda / balkon, če je primerno",Primorska pogosto prej; hladne lege in višje nadmorske višine pozneje.,splošno sprejeto; preveri po viru/sorti,nizka,SEMENARNA_KATALOG;VERIFY_NEEDED
lubenica,5,maj,presajanje,Presadi lubenica na stalno mesto,"Splošen razpon: maj–junij, po nevarnosti pozebe. Ne presajaj v stresnih razmerah; po presajanju zalij.",srednja,"vrt / visoka greda / večji lonec, če je primerno",Za toploljubne rastline počakaj na konec nevarnosti pozebe; v hladnih regijah pozneje.,splošno sprejeto; preveri po viru/sorti,nizka,SEMENARNA_KATALOG;VERIFY_NEEDED
lubenica,6,junij,presajanje,Presadi lubenica na stalno mesto,"Splošen razpon: maj–junij, po nevarnosti pozebe. Ne presajaj v stresnih razmerah; po presajanju zalij.",srednja,"vrt / visoka greda / večji lonec, če je primerno",Za toploljubne rastline počakaj na konec nevarnosti pozebe; v hladnih regijah pozneje.,splošno sprejeto; preveri po viru/sorti,nizka,SEMENARNA_KATALOG;VERIFY_NEEDED
lubenica,8,avgust,obiranje,Obiraj lubenica,Splošen razpon: avgust–september. Redno pobiranje pri mnogih rastlinah spodbuja nadaljnjo rast.,srednja,vsi primerni tipi vrta,"Pridelek je odvisen od sorte, setve, vremena in lokalne mikroklime.",splošno sprejeto; preveri po viru/sorti,nizka,SEMENARNA_KATALOG;VERIFY_NEEDED
lubenica,9,september,obiranje,Obiraj lubenica,Splošen razpon: avgust–september. Redno pobiranje pri mnogih rastlinah spodbuja nadaljnjo rast.,srednja,vsi primerni tipi vrta,"Pridelek je odvisen od sorte, setve, vremena in lokalne mikroklime.",splošno sprejeto; preveri po viru/sorti,nizka,SEMENARNA_KATALOG;VERIFY_NEEDED
solata,2,februar,setev_notri,Sej solata v notranjih prostorih,"Splošen razpon: februar–marec za zgodnje sadike. Upoštevaj sorto, svetlobo, temperaturo in regijo.",visoka,notranji prostor / sadike,Primorska pogosto prej; hladne lege in višje nadmorske višine pozneje.,splošno sprejeto; preveri po viru/sorti,srednja,KGZS_EKNJIZNICA;IVR;SEMENARNA_KATALOG
solata,3,marec,setev_notri,Sej solata v notranjih prostorih,"Splošen razpon: februar–marec za zgodnje sadike. Upoštevaj sorto, svetlobo, temperaturo in regijo.",visoka,notranji prostor / sadike,Primorska pogosto prej; hladne lege in višje nadmorske višine pozneje.,splošno sprejeto; preveri po viru/sorti,srednja,KGZS_EKNJIZNICA;IVR;SEMENARNA_KATALOG
solata,3,marec,setev_na_prosto,Sej solata na prosto,Splošen razpon: marec–september v več zaporednih setvah. Pred setvijo preveri temperaturo in vlažnost tal.,visoka,"vrt / visoka greda / balkon, če je primerno",Primorska pogosto prej; hladne lege in višje nadmorske višine pozneje.,splošno sprejeto; preveri po viru/sorti,srednja,KGZS_EKNJIZNICA;IVR;SEMENARNA_KATALOG
solata,4,april,setev_na_prosto,Sej solata na prosto,Splošen razpon: marec–september v več zaporednih setvah. Pred setvijo preveri temperaturo in vlažnost tal.,visoka,"vrt / visoka greda / balkon, če je primerno",Primorska pogosto prej; hladne lege in višje nadmorske višine pozneje.,splošno sprejeto; preveri po viru/sorti,srednja,KGZS_EKNJIZNICA;IVR;SEMENARNA_KATALOG
solata,5,maj,setev_na_prosto,Sej solata na prosto,Splošen razpon: marec–september v več zaporednih setvah. Pred setvijo preveri temperaturo in vlažnost tal.,visoka,"vrt / visoka greda / balkon, če je primerno",Primorska pogosto prej; hladne lege in višje nadmorske višine pozneje.,splošno sprejeto; preveri po viru/sorti,srednja,KGZS_EKNJIZNICA;IVR;SEMENARNA_KATALOG
solata,6,junij,setev_na_prosto,Sej solata na prosto,Splošen razpon: marec–september v več zaporednih setvah. Pred setvijo preveri temperaturo in vlažnost tal.,visoka,"vrt / visoka greda / balkon, če je primerno",Primorska pogosto prej; hladne lege in višje nadmorske višine pozneje.,splošno sprejeto; preveri po viru/sorti,srednja,KGZS_EKNJIZNICA;IVR;SEMENARNA_KATALOG
solata,7,julij,setev_na_prosto,Sej solata na prosto,Splošen razpon: marec–september v več zaporednih setvah. Pred setvijo preveri temperaturo in vlažnost tal.,visoka,"vrt / visoka greda / balkon, če je primerno",Primorska pogosto prej; hladne lege in višje nadmorske višine pozneje.,splošno sprejeto; preveri po viru/sorti,srednja,KGZS_EKNJIZNICA;IVR;SEMENARNA_KATALOG
solata,8,avgust,setev_na_prosto,Sej solata na prosto,Splošen razpon: marec–september v več zaporednih setvah. Pred setvijo preveri temperaturo in vlažnost tal.,visoka,"vrt / visoka greda / balkon, če je primerno",Primorska pogosto prej; hladne lege in višje nadmorske višine pozneje.,splošno sprejeto; preveri po viru/sorti,srednja,KGZS_EKNJIZNICA;IVR;SEMENARNA_KATALOG
solata,9,september,setev_na_prosto,Sej solata na prosto,Splošen razpon: marec–september v več zaporednih setvah. Pred setvijo preveri temperaturo in vlažnost tal.,visoka,"vrt / visoka greda / balkon, če je primerno",Primorska pogosto prej; hladne lege in višje nadmorske višine pozneje.,splošno sprejeto; preveri po viru/sorti,srednja,KGZS_EKNJIZNICA;IVR;SEMENARNA_KATALOG
solata,3,marec,presajanje,Presadi solata na stalno mesto,Splošen razpon: marec–maj; avgust–september. Ne presajaj v stresnih razmerah; po presajanju zalij.,visoka,"vrt / visoka greda / večji lonec, če je primerno",Za toploljubne rastline počakaj na konec nevarnosti pozebe; v hladnih regijah pozneje.,splošno sprejeto; preveri po viru/sorti,srednja,KGZS_EKNJIZNICA;IVR;SEMENARNA_KATALOG
solata,4,april,presajanje,Presadi solata na stalno mesto,Splošen razpon: marec–maj; avgust–september. Ne presajaj v stresnih razmerah; po presajanju zalij.,visoka,"vrt / visoka greda / večji lonec, če je primerno",Za toploljubne rastline počakaj na konec nevarnosti pozebe; v hladnih regijah pozneje.,splošno sprejeto; preveri po viru/sorti,srednja,KGZS_EKNJIZNICA;IVR;SEMENARNA_KATALOG
solata,5,maj,presajanje,Presadi solata na stalno mesto,Splošen razpon: marec–maj; avgust–september. Ne presajaj v stresnih razmerah; po presajanju zalij.,visoka,"vrt / visoka greda / večji lonec, če je primerno",Za toploljubne rastline počakaj na konec nevarnosti pozebe; v hladnih regijah pozneje.,splošno sprejeto; preveri po viru/sorti,srednja,KGZS_EKNJIZNICA;IVR;SEMENARNA_KATALOG
solata,8,avgust,presajanje,Presadi solata na stalno mesto,Splošen razpon: marec–maj; avgust–september. Ne presajaj v stresnih razmerah; po presajanju zalij.,visoka,"vrt / visoka greda / večji lonec, če je primerno",Za toploljubne rastline počakaj na konec nevarnosti pozebe; v hladnih regijah pozneje.,splošno sprejeto; preveri po viru/sorti,srednja,KGZS_EKNJIZNICA;IVR;SEMENARNA_KATALOG
solata,9,september,presajanje,Presadi solata na stalno mesto,Splošen razpon: marec–maj; avgust–september. Ne presajaj v stresnih razmerah; po presajanju zalij.,visoka,"vrt / visoka greda / večji lonec, če je primerno",Za toploljubne rastline počakaj na konec nevarnosti pozebe; v hladnih regijah pozneje.,splošno sprejeto; preveri po viru/sorti,srednja,KGZS_EKNJIZNICA;IVR;SEMENARNA_KATALOG
