plant_id,problem_type,problem_name,symptom_short,prevention_short,when_to_watch,verification_status,confidence,source_ids
cili,škodljivec,pršice,Potrebno dopolniti po IVR ali prognostičnih obvestilih.,"Redno pregledovanje, mreže, kolobar, odstranjevanje močno poškodovanih delov; ukrepe preveri pri IVR.",od setve do obiranja; pogosteje v toplem delu sezone,potrebno preveriti za produkcijo,srednja,IVR;GOV_PROGNOZA;VERIFY_NEEDED
kumare,bolezen/fiziološka težava,pepelasta plesen,Potrebno dopolniti po IVR ali drugem strokovnem viru.,"Kolobar, zračnost, pravilno zalivanje, zdrave sadike/seme; prilagodi posamezni težavi.","vegetacija; bolj izrazito ob vlagi, vročini ali stresu, odvisno od težave",potrebno preveriti za produkcijo,srednja,IVR;MKGP_IPZ;VERIFY_NEEDED
kumare,bolezen/fiziološka težava,peronospora,Potrebno dopolniti po IVR ali drugem strokovnem viru.,"Kolobar, zračnost, pravilno zalivanje, zdrave sadike/seme; prilagodi posamezni težavi.","vegetacija; bolj izrazito ob vlagi, vročini ali stresu, odvisno od težave",potrebno preveriti za produkcijo,srednja,IVR;MKGP_IPZ;VERIFY_NEEDED
kumare,bolezen/fiziološka težava,koreninske gnilobe,Potrebno dopolniti po IVR ali drugem strokovnem viru.,"Kolobar, zračnost, pravilno zalivanje, zdrave sadike/seme; prilagodi posamezni težavi.","vegetacija; bolj izrazito ob vlagi, vročini ali stresu, odvisno od težave",potrebno preveriti za produkcijo,srednja,IVR;MKGP_IPZ;VERIFY_NEEDED
kumare,škodljivec,listne uši,Potrebno dopolniti po IVR ali prognostičnih obvestilih.,"Redno pregledovanje, mreže, kolobar, odstranjevanje močno poškodovanih delov; ukrepe preveri pri IVR.",od setve do obiranja; pogosteje v toplem delu sezone,potrebno preveriti za produkcijo,srednja,IVR;GOV_PROGNOZA;VERIFY_NEEDED
kumare,škodljivec,pršice,Potrebno dopolniti po IVR ali prognostičnih obvestilih.,"Redno pregledovanje, mreže, kolobar, odstranjevanje močno poškodovanih delov; ukrepe preveri pri IVR.",od setve do obiranja; pogosteje v toplem delu sezone,potrebno preveriti za produkcijo,srednja,IVR;GOV_PROGNOZA;VERIFY_NEEDED
kumare,škodljivec,polži,Potrebno dopolniti po IVR ali prognostičnih obvestilih.,"Redno pregledovanje, mreže, kolobar, odstranjevanje močno poškodovanih delov; ukrepe preveri pri IVR.",od setve do obiranja; pogosteje v toplem delu sezone,potrebno preveriti za produkcijo,srednja,IVR;GOV_PROGNOZA;VERIFY_NEEDED
bucke,bolezen/fiziološka težava,pepelasta plesen,Potrebno dopolniti po IVR ali drugem strokovnem viru.,"Kolobar, zračnost, pravilno zalivanje, zdrave sadike/seme; prilagodi posamezni težavi.","vegetacija; bolj izrazito ob vlagi, vročini ali stresu, odvisno od težave",potrebno preveriti za produkcijo,srednja,IVR;MKGP_IPZ;VERIFY_NEEDED
bucke,bolezen/fiziološka težava,viroze,Potrebno dopolniti po IVR ali drugem strokovnem viru.,"Kolobar, zračnost, pravilno zalivanje, zdrave sadike/seme; prilagodi posamezni težavi.","vegetacija; bolj izrazito ob vlagi, vročini ali stresu, odvisno od težave",potrebno preveriti za produkcijo,srednja,IVR;MKGP_IPZ;VERIFY_NEEDED
bucke,škodljivec,polži,Potrebno dopolniti po IVR ali prognostičnih obvestilih.,"Redno pregledovanje, mreže, kolobar, odstranjevanje močno poškodovanih delov; ukrepe preveri pri IVR.",od setve do obiranja; pogosteje v toplem delu sezone,potrebno preveriti za produkcijo,srednja,IVR;GOV_PROGNOZA;VERIFY_NEEDED
bucke,škodljivec,listne uši,Potrebno dopolniti po IVR ali prognostičnih obvestilih.,"Redno pregledovanje, mreže, kolobar, odstranjevanje močno poškodovanih delov; ukrepe preveri pri IVR.",od setve do obiranja; pogosteje v toplem delu sezone,potrebno preveriti za produkcijo,srednja,IVR;GOV_PROGNOZA;VERIFY_NEEDED
jajcevec,bolezen/fiziološka težava,siva plesen,Potrebno dopolniti po IVR ali drugem strokovnem viru.,"Kolobar, zračnost, pravilno zalivanje, zdrave sadike/seme; prilagodi posamezni težavi.","vegetacija; bolj izrazito ob vlagi, vročini ali stresu, odvisno od težave",potrebno preveriti za produkcijo,srednja,IVR;MKGP_IPZ;VERIFY_NEEDED
jajcevec,bolezen/fiziološka težava,verticilijska uvelost,Potrebno dopolniti po IVR ali drugem strokovnem viru.,"Kolobar, zračnost, pravilno zalivanje, zdrave sadike/seme; prilagodi posamezni težavi.","vegetacija; bolj izrazito ob vlagi, vročini ali stresu, odvisno od težave",potrebno preveriti za produkcijo,srednja,IVR;MKGP_IPZ;VERIFY_NEEDED
jajcevec,škodljivec,koloradski hrošč,Potrebno dopolniti po IVR ali prognostičnih obvestilih.,"Redno pregledovanje, mreže, kolobar, odstranjevanje močno poškodovanih delov; ukrepe preveri pri IVR.",od setve do obiranja; pogosteje v toplem delu sezone,potrebno preveriti za produkcijo,srednja,IVR;GOV_PROGNOZA;VERIFY_NEEDED
jajcevec,škodljivec,listne uši,Potrebno dopolniti po IVR ali prognostičnih obvestilih.,"Redno pregledovanje, mreže, kolobar, odstranjevanje močno poškodovanih delov; ukrepe preveri pri IVR.",od setve do obiranja; pogosteje v toplem delu sezone,potrebno preveriti za produkcijo,srednja,IVR;GOV_PROGNOZA;VERIFY_NEEDED
jajcevec,škodljivec,pršice,Potrebno dopolniti po IVR ali prognostičnih obvestilih.,"Redno pregledovanje, mreže, kolobar, odstranjevanje močno poškodovanih delov; ukrepe preveri pri IVR.",od setve do obiranja; pogosteje v toplem delu sezone,potrebno preveriti za produkcijo,srednja,IVR;GOV_PROGNOZA;VERIFY_NEEDED
buce,bolezen/fiziološka težava,pepelasta plesen,Potrebno dopolniti po IVR ali drugem strokovnem viru.,"Kolobar, zračnost, pravilno zalivanje, zdrave sadike/seme; prilagodi posamezni težavi.","vegetacija; bolj izrazito ob vlagi, vročini ali stresu, odvisno od težave",potrebno preveriti za produkcijo,srednja,IVR;MKGP_IPZ;VERIFY_NEEDED
buce,bolezen/fiziološka težava,gnilobe,Potrebno dopolniti po IVR ali drugem strokovnem viru.,"Kolobar, zračnost, pravilno zalivanje, zdrave sadike/seme; prilagodi posamezni težavi.","vegetacija; bolj izrazito ob vlagi, vročini ali stresu, odvisno od težave",potrebno preveriti za produkcijo,srednja,IVR;MKGP_IPZ;VERIFY_NEEDED
buce,škodljivec,polži,Potrebno dopolniti po IVR ali prognostičnih obvestilih.,"Redno pregledovanje, mreže, kolobar, odstranjevanje močno poškodovanih delov; ukrepe preveri pri IVR.",od setve do obiranja; pogosteje v toplem delu sezone,potrebno preveriti za produkcijo,srednja,IVR;GOV_PROGNOZA;VERIFY_NEEDED
buce,škodljivec,listne uši,Potrebno dopolniti po IVR ali prognostičnih obvestilih.,"Redno pregledovanje, mreže, kolobar, odstranjevanje močno poškodovanih delov; ukrepe preveri pri IVR.",od setve do obiranja; pogosteje v toplem delu sezone,potrebno preveriti za produkcijo,srednja,IVR;GOV_PROGNOZA;VERIFY_NEEDED
lubenica,bolezen/fiziološka težava,pepelasta plesen,Potrebno dopolniti po IVR ali drugem strokovnem viru.,"Kolobar, zračnost, pravilno zalivanje, zdrave sadike/seme; prilagodi posamezni težavi.","vegetacija; bolj izrazito ob vlagi, vročini ali stresu, odvisno od težave",potrebno preveriti za produkcijo,srednja,IVR;MKGP_IPZ;VERIFY_NEEDED
lubenica,bolezen/fiziološka težava,fuzarijska uvelost,Potrebno dopolniti po IVR ali drugem strokovnem viru.,"Kolobar, zračnost, pravilno zalivanje, zdrave sadike/seme; prilagodi posamezni težavi.","vegetacija; bolj izrazito ob vlagi, vročini ali stresu, odvisno od težave",potrebno preveriti za produkcijo,srednja,IVR;MKGP_IPZ;VERIFY_NEEDED
lubenica,škodljivec,listne uši,Potrebno dopolniti po IVR ali prognostičnih obvestilih.,"Redno pregledovanje, mreže, kolobar, odstranjevanje močno poškodovanih delov; ukrepe preveri pri IVR.",od setve do obiranja; pogosteje v toplem delu sezone,potrebno preveriti za produkcijo,srednja,IVR;GOV_PROGNOZA;VERIFY_NEEDED
lubenica,škodljivec,pršice,Potrebno dopolniti po IVR ali prognostičnih obvestilih.,"Redno pregledovanje, mreže, kolobar, odstranjevanje močno poškodovanih delov; ukrepe preveri pri IVR.",od setve do obiranja; pogosteje v toplem delu sezone,potrebno preveriti za produkcijo,srednja,IVR;GOV_PROGNOZA;VERIFY_NEEDED
solata,bolezen/fiziološka težava,solatna plesen,Potrebno dopolniti po IVR ali drugem strokovnem viru.,"Kolobar, zračnost, pravilno zalivanje, zdrave sadike/seme; prilagodi posamezni težavi.","vegetacija; bolj izrazito ob vlagi, vročini ali stresu, odvisno od težave",potrebno preveriti za produkcijo,srednja,IVR;MKGP_IPZ;VERIFY_NEEDED
solata,bolezen/fiziološka težava,gnilobe,Potrebno dopolniti po IVR ali drugem strokovnem viru.,"Kolobar, zračnost, pravilno zalivanje, zdrave sadike/seme; prilagodi posamezni težavi.","vegetacija; bolj izrazito ob vlagi, vročini ali stresu, odvisno od težave",potrebno preveriti za produkcijo,srednja,IVR;MKGP_IPZ;VERIFY_NEEDED
solata,škodljivec,polži,Potrebno dopolniti po IVR ali prognostičnih obvestilih.,"Redno pregledovanje, mreže, kolobar, odstranjevanje močno poškodovanih delov; ukrepe preveri pri IVR.",od setve do obiranja; pogosteje v toplem delu sezone,potrebno preveriti za produkcijo,srednja,IVR;GOV_PROGNOZA;VERIFY_NEEDED
solata,škodljivec,listne uši,Potrebno dopolniti po IVR ali prognostičnih obvestilih.,"Redno pregledovanje, mreže, kolobar, odstranjevanje močno poškodovanih delov; ukrepe preveri pri IVR.",od setve do obiranja; pogosteje v toplem delu sezone,potrebno preveriti za produkcijo,srednja,IVR;GOV_PROGNOZA;VERIFY_NEEDED
radic,bolezen/fiziološka težava,gnilobe,Potrebno dopolniti po IVR ali drugem strokovnem viru.,"Kolobar, zračnost, pravilno zalivanje, zdrave sadike/seme; prilagodi posamezni težavi.","vegetacija; bolj izrazito ob vlagi, vročini ali stresu, odvisno od težave",potrebno preveriti za produkcijo,srednja,IVR;MKGP_IPZ;VERIFY_NEEDED
radic,bolezen/fiziološka težava,listne pegavosti,Potrebno dopolniti po IVR ali drugem strokovnem viru.,"Kolobar, zračnost, pravilno zalivanje, zdrave sadike/seme; prilagodi posamezni težavi.","vegetacija; bolj izrazito ob vlagi, vročini ali stresu, odvisno od težave",potrebno preveriti za produkcijo,srednja,IVR;MKGP_IPZ;VERIFY_NEEDED
radic,škodljivec,polži,Potrebno dopolniti po IVR ali prognostičnih obvestilih.,"Redno pregledovanje, mreže, kolobar, odstranjevanje močno poškodovanih delov; ukrepe preveri pri IVR.",od setve do obiranja; pogosteje v toplem delu sezone,potrebno preveriti za produkcijo,srednja,IVR;GOV_PROGNOZA;VERIFY_NEEDED
radic,škodljivec,listne uši,Potrebno dopolniti po IVR ali prognostičnih obvestilih.,"Redno pregledovanje, mreže, kolobar, odstranjevanje močno poškodovanih delov; ukrepe preveri pri IVR.",od setve do obiranja; pogosteje v toplem delu sezone,potrebno preveriti za produkcijo,srednja,IVR;GOV_PROGNOZA;VERIFY_NEEDED
endivija,bolezen/fiziološka težava,gnilobe,Potrebno dopolniti po IVR ali drugem strokovnem viru.,"Kolobar, zračnost, pravilno zalivanje, zdrave sadike/seme; prilagodi posamezni težavi.","vegetacija; bolj izrazito ob vlagi, vročini ali stresu, odvisno od težave",potrebno preveriti za produkcijo,srednja,IVR;MKGP_IPZ;VERIFY_NEEDED
endivija,bolezen/fiziološka težava,listne pegavosti,Potrebno dopolniti po IVR ali drugem strokovnem viru.,"Kolobar, zračnost, pravilno zalivanje, zdrave sadike/seme; prilagodi posamezni težavi.","vegetacija; bolj izrazito ob vlagi, vročini ali stresu, odvisno od težave",potrebno preveriti za produkcijo,srednja,IVR;MKGP_IPZ;VERIFY_NEEDED
endivija,škodljivec,polži,Potrebno dopolniti po IVR ali prognostičnih obvestilih.,"Redno pregledovanje, mreže, kolobar, odstranjevanje močno poškodovanih delov; ukrepe preveri pri IVR.",od setve do obiranja; pogosteje v toplem delu sezone,potrebno preveriti za produkcijo,srednja,IVR;GOV_PROGNOZA;VERIFY_NEEDED
endivija,škodljivec,uši,Potrebno dopolniti po IVR ali prognostičnih obvestilih.,"Redno pregledovanje, mreže, kolobar, odstranjevanje močno poškodovanih delov; ukrepe preveri pri IVR.",od setve do obiranja; pogosteje v toplem delu sezone,potrebno preveriti za produkcijo,srednja,IVR;GOV_PROGNOZA;VERIFY_NEEDED
spinaca,bolezen/fiziološka težava,peronospora,Potrebno dopolniti po IVR ali drugem strokovnem viru.,"Kolobar, zračnost, pravilno zalivanje, zdrave sadike/seme; prilagodi posamezni težavi.","vegetacija; bolj izrazito ob vlagi, vročini ali stresu, odvisno od težave",potrebno preveriti za produkcijo,srednja,IVR;MKGP_IPZ;VERIFY_NEEDED
spinaca,bolezen/fiziološka težava,listne pegavosti,Potrebno dopolniti po IVR ali drugem strokovnem viru.,"Kolobar, zračnost, pravilno zalivanje, zdrave sadike/seme; prilagodi posamezni težavi.","vegetacija; bolj izrazito ob vlagi, vročini ali stresu, odvisno od težave",potrebno preveriti za produkcijo,srednja,IVR;MKGP_IPZ;VERIFY_NEEDED
spinaca,škodljivec,polži,Potrebno dopolniti po IVR ali prognostičnih obvestilih.,"Redno pregledovanje, mreže, kolobar, odstranjevanje močno poškodovanih delov; ukrepe preveri pri IVR.",od setve do obiranja; pogosteje v toplem delu sezone,potrebno preveriti za produkcijo,srednja,IVR;GOV_PROGNOZA;VERIFY_NEEDED
spinaca,škodljivec,listne uši,Potrebno dopolniti po IVR ali prognostičnih obvestilih.,"Redno pregledovanje, mreže, kolobar, odstranjevanje močno poškodovanih delov; ukrepe preveri pri IVR.",od setve do obiranja; pogosteje v toplem delu sezone,potrebno preveriti za produkcijo,srednja,IVR;GOV_PROGNOZA;VERIFY_NEEDED
blitva,bolezen/fiziološka težava,listne pegavosti,Potrebno dopolniti po IVR ali drugem strokovnem viru.,"Kolobar, zračnost, pravilno zalivanje, zdrave sadike/seme; prilagodi posamezni težavi.","vegetacija; bolj izrazito ob vlagi, vročini ali stresu, odvisno od težave",potrebno preveriti za produkcijo,srednja,IVR;MKGP_IPZ;VERIFY_NEEDED
blitva,bolezen/fiziološka težava,peronospora,Potrebno dopolniti po IVR ali drugem strokovnem viru.,"Kolobar, zračnost, pravilno zalivanje, zdrave sadike/seme; prilagodi posamezni težavi.","vegetacija; bolj izrazito ob vlagi, vročini ali stresu, odvisno od težave",potrebno preveriti za produkcijo,srednja,IVR;MKGP_IPZ;VERIFY_NEEDED
blitva,škodljivec,polži,Potrebno dopolniti po IVR ali prognostičnih obvestilih.,"Redno pregledovanje, mreže, kolobar, odstranjevanje močno poškodovanih delov; ukrepe preveri pri IVR.",od setve do obiranja; pogosteje v toplem delu sezone,potrebno preveriti za produkcijo,srednja,IVR;GOV_PROGNOZA;VERIFY_NEEDED
blitva,škodljivec,listne uši,Potrebno dopolniti po IVR ali prognostičnih obvestilih.,"Redno pregledovanje, mreže, kolobar, odstranjevanje močno poškodovanih delov; ukrepe preveri pri IVR.",od setve do obiranja; pogosteje v toplem delu sezone,potrebno preveriti za produkcijo,srednja,IVR;GOV_PROGNOZA;VERIFY_NEEDED
motovilec,bolezen/fiziološka težava,pepelasta plesen,Potrebno dopolniti po IVR ali drugem strokovnem viru.,"Kolobar, zračnost, pravilno zalivanje, zdrave sadike/seme; prilagodi posamezni težavi.","vegetacija; bolj izrazito ob vlagi, vročini ali stresu, odvisno od težave",potrebno preveriti za produkcijo,srednja,IVR;MKGP_IPZ;VERIFY_NEEDED
motovilec,bolezen/fiziološka težava,gnilobe v vlagi,Potrebno dopolniti po IVR ali drugem strokovnem viru.,"Kolobar, zračnost, pravilno zalivanje, zdrave sadike/seme; prilagodi posamezni težavi.","vegetacija; bolj izrazito ob vlagi, vročini ali stresu, odvisno od težave",potrebno preveriti za produkcijo,srednja,IVR;MKGP_IPZ;VERIFY_NEEDED
motovilec,škodljivec,polži,Potrebno dopolniti po IVR ali prognostičnih obvestilih.,"Redno pregledovanje, mreže, kolobar, odstranjevanje močno poškodovanih delov; ukrepe preveri pri IVR.",od setve do obiranja; pogosteje v toplem delu sezone,potrebno preveriti za produkcijo,srednja,IVR;GOV_PROGNOZA;VERIFY_NEEDED
rukola,bolezen/fiziološka težava,bolhači,Potrebno dopolniti po IVR ali drugem strokovnem viru.,"Kolobar, zračnost, pravilno zalivanje, zdrave sadike/seme; prilagodi posamezni težavi.","vegetacija; bolj izrazito ob vlagi, vročini ali stresu, odvisno od težave",potrebno preveriti za produkcijo,srednja,IVR;MKGP_IPZ;VERIFY_NEEDED
rukola,bolezen/fiziološka težava,listne pegavosti,Potrebno dopolniti po IVR ali drugem strokovnem viru.,"Kolobar, zračnost, pravilno zalivanje, zdrave sadike/seme; prilagodi posamezni težavi.","vegetacija; bolj izrazito ob vlagi, vročini ali stresu, odvisno od težave",potrebno preveriti za produkcijo,srednja,IVR;MKGP_IPZ;VERIFY_NEEDED
rukola,škodljivec,bolhači,Potrebno dopolniti po IVR ali prognostičnih obvestilih.,"Redno pregledovanje, mreže, kolobar, odstranjevanje močno poškodovanih delov; ukrepe preveri pri IVR.",od setve do obiranja; pogosteje v toplem delu sezone,potrebno preveriti za produkcijo,srednja,IVR;GOV_PROGNOZA;VERIFY_NEEDED
rukola,škodljivec,polži,Potrebno dopolniti po IVR ali prognostičnih obvestilih.,"Redno pregledovanje, mreže, kolobar, odstranjevanje močno poškodovanih delov; ukrepe preveri pri IVR.",od setve do obiranja; pogosteje v toplem delu sezone,potrebno preveriti za produkcijo,srednja,IVR;GOV_PROGNOZA;VERIFY_NEEDED
korenje,bolezen/fiziološka težava,koreninske gnilobe,Potrebno dopolniti po IVR ali drugem strokovnem viru.,"Kolobar, zračnost, pravilno zalivanje, zdrave sadike/seme; prilagodi posamezni težavi.","vegetacija; bolj izrazito ob vlagi, vročini ali stresu, odvisno od težave",potrebno preveriti za produkcijo,srednja,IVR;MKGP_IPZ;VERIFY_NEEDED
korenje,bolezen/fiziološka težava,listne pegavosti,Potrebno dopolniti po IVR ali drugem strokovnem viru.,"Kolobar, zračnost, pravilno zalivanje, zdrave sadike/seme; prilagodi posamezni težavi.","vegetacija; bolj izrazito ob vlagi, vročini ali stresu, odvisno od težave",potrebno preveriti za produkcijo,srednja,IVR;MKGP_IPZ;VERIFY_NEEDED
korenje,škodljivec,korenjeva muha,Potrebno dopolniti po IVR ali prognostičnih obvestilih.,"Redno pregledovanje, mreže, kolobar, odstranjevanje močno poškodovanih delov; ukrepe preveri pri IVR.",od setve do obiranja; pogosteje v toplem delu sezone,potrebno preveriti za produkcijo,srednja,IVR;GOV_PROGNOZA;VERIFY_NEEDED
korenje,škodljivec,strune,Potrebno dopolniti po IVR ali prognostičnih obvestilih.,"Redno pregledovanje, mreže, kolobar, odstranjevanje močno poškodovanih delov; ukrepe preveri pri IVR.",od setve do obiranja; pogosteje v toplem delu sezone,potrebno preveriti za produkcijo,srednja,IVR;GOV_PROGNOZA;VERIFY_NEEDED
petersilj_koren,bolezen/fiziološka težava,listne pegavosti,Potrebno dopolniti po IVR ali drugem strokovnem viru.,"Kolobar, zračnost, pravilno zalivanje, zdrave sadike/seme; prilagodi posamezni težavi.","vegetacija; bolj izrazito ob vlagi, vročini ali stresu, odvisno od težave",potrebno preveriti za produkcijo,srednja,IVR;MKGP_IPZ;VERIFY_NEEDED
petersilj_koren,bolezen/fiziološka težava,koreninske gnilobe,Potrebno dopolniti po IVR ali drugem strokovnem viru.,"Kolobar, zračnost, pravilno zalivanje, zdrave sadike/seme; prilagodi posamezni težavi.","vegetacija; bolj izrazito ob vlagi, vročini ali stresu, odvisno od težave",potrebno preveriti za produkcijo,srednja,IVR;MKGP_IPZ;VERIFY_NEEDED
petersilj_koren,škodljivec,korenjeva muha,Potrebno dopolniti po IVR ali prognostičnih obvestilih.,"Redno pregledovanje, mreže, kolobar, odstranjevanje močno poškodovanih delov; ukrepe preveri pri IVR.",od setve do obiranja; pogosteje v toplem delu sezone,potrebno preveriti za produkcijo,srednja,IVR;GOV_PROGNOZA;VERIFY_NEEDED
petersilj_koren,škodljivec,listne uši,Potrebno dopolniti po IVR ali prognostičnih obvestilih.,"Redno pregledovanje, mreže, kolobar, odstranjevanje močno poškodovanih delov; ukrepe preveri pri IVR.",od setve do obiranja; pogosteje v toplem delu sezone,potrebno preveriti za produkcijo,srednja,IVR;GOV_PROGNOZA;VERIFY_NEEDED
rdeca_pesa,bolezen/fiziološka težava,listne pegavosti,Potrebno dopolniti po IVR ali drugem strokovnem viru.,"Kolobar, zračnost, pravilno zalivanje, zdrave sadike/seme; prilagodi posamezni težavi.","vegetacija; bolj izrazito ob vlagi, vročini ali stresu, odvisno od težave",potrebno preveriti za produkcijo,srednja,IVR;MKGP_IPZ;VERIFY_NEEDED
rdeca_pesa,bolezen/fiziološka težava,gnilobe,Potrebno dopolniti po IVR ali drugem strokovnem viru.,"Kolobar, zračnost, pravilno zalivanje, zdrave sadike/seme; prilagodi posamezni težavi.","vegetacija; bolj izrazito ob vlagi, vročini ali stresu, odvisno od težave",potrebno preveriti za produkcijo,srednja,IVR;MKGP_IPZ;VERIFY_NEEDED
rdeca_pesa,škodljivec,bolhači,Potrebno dopolniti po IVR ali prognostičnih obvestilih.,"Redno pregledovanje, mreže, kolobar, odstranjevanje močno poškodovanih delov; ukrepe preveri pri IVR.",od setve do obiranja; pogosteje v toplem delu sezone,potrebno preveriti za produkcijo,srednja,IVR;GOV_PROGNOZA;VERIFY_NEEDED
rdeca_pesa,škodljivec,listne uši,Potrebno dopolniti po IVR ali prognostičnih obvestilih.,"Redno pregledovanje, mreže, kolobar, odstranjevanje močno poškodovanih delov; ukrepe preveri pri IVR.",od setve do obiranja; pogosteje v toplem delu sezone,potrebno preveriti za produkcijo,srednja,IVR;GOV_PROGNOZA;VERIFY_NEEDED
